run_id,condition,success,timeout,trial_type,trial_index,time_elapsed,internal_node_id,rt,response,ttype,stimulus,slider_start,word,im_mem,completioncode
106,1,TRUE,FALSE,preload,0,397,0.0-0.0,"""","""","""","""","""","""","""",""""
106,1,"""","""",survey-html-form,1,13865,0.0-1.0,13449.5,"{""age_year"":""1991"",""age_month"":""07""}",age_check,"""","""","""","""",""""
106,1,"""","""",html-keyboard-response,2,39095,0.0-3.0,25217.4,j,instructions,"<p class=""title"">Experiment</b></p>      	<p class=""instruct"">During the task, you will view a stream of word(s), and each will be displayed for 4 seconds. Please picture the food depicted by the word in your mind on a white plate. Then you will view an image of that food item. </p>        <p class=""instruct"">Please rate how much the image on the screen matches the food you depicted in your mind. You will rate each image on a scale from 0 to 10, with 0 being ‘does not match all’ and 10 being ‘perfect match’.</p>        <p class=""instruct"">There are no right answers. Please rate only based on your depiction of the food in your mind.</p>        <p class=""instruct"">Press ""j"" or ""k"" to continue.","""","""","""",""""
106,1,"""","""",survey-html-form,3,76240,0.0-4.0-0.0,37128,"[{""name"":""quiz1"",""value"":""Correct""},{""name"":""quiz2"",""value"":""Correct""}]",attention_check,"""","""","""","""",""""
106,1,"""","""",html-keyboard-response,4,79042,0.0-5.0-0.0,2794.5, ,quiz_complete,You successfully completed the quiz! Press any key to begin the task.,"""","""","""",""""
106,1,"""","""",html-keyboard-response,5,83078,0.0-7.0-0.0,null,null,view_stimuli,"<div class = ""display"">black beans with rice</div>","""","""","""",""""
106,1,"""","""",html-slider-response,6,87890,0.0-7.0-1.0,4805.2,23,rep_rating,"<div class = ""display"">black beans with rice</div><br><br><img src =https://voices.uchicago.edu/bakkourlab/files/2019/04/Black-Beans-with-rice.jpg></img>",74.40566446,black beans with rice,0.380952381,""""
106,1,"""","""",html-keyboard-response,7,91925,0.0-7.1-0.1,null,null,view_stimuli,"<div class = ""display"">baked potato</div>","""","""","""",""""
106,1,"""","""",html-slider-response,8,95647,0.0-7.1-1.1,3712.8,15,rep_rating,"<div class = ""display"">baked potato</div><br><br><img src =https://voices.uchicago.edu/bakkourlab/files/2019/04/Baked-Potato.jpg></img>",82.58239824,baked potato,0.475,""""
106,1,"""","""",html-keyboard-response,9,99682,0.0-7.2-0.2,null,null,view_stimuli,"<div class = ""display"">oreos</div>","""","""","""",""""
106,1,"""","""",html-slider-response,10,103858,0.0-7.2-1.2,4171.6,24,rep_rating,"<div class = ""display"">oreos</div><br><br><img src =https://voices.uchicago.edu/bakkourlab/files/2019/04/Oreos.jpg></img>",33.63839663,oreos,0.536585366,""""
106,1,"""","""",html-keyboard-response,11,107886,0.0-7.3-0.3,null,null,view_stimuli,"<div class = ""display"">craisins</div>","""","""","""",""""
106,1,"""","""",html-slider-response,12,112197,0.0-7.3-1.3,4307.3,98,rep_rating,"<div class = ""display"">craisins</div><br><br><img src =https://voices.uchicago.edu/bakkourlab/files/2019/04/Craisins-Ocean-Spray.jpg></img>",53.21203532,craisins,0.595238095,""""
106,1,"""","""",html-keyboard-response,13,116224,0.0-7.4-0.4,null,null,view_stimuli,"<div class = ""display"">olives</div>","""","""","""",""""
106,1,"""","""",html-slider-response,14,119759,0.0-7.4-1.4,3530.5,12,rep_rating,"<div class = ""display"">olives</div><br><br><img src =https://voices.uchicago.edu/bakkourlab/files/2019/04/Olives-green-withpimento.jpg></img>",76.5267386,olives,0.390243902,""""
106,1,"""","""",html-keyboard-response,15,123778,0.0-7.5-0.5,null,null,view_stimuli,"<div class = ""display"">buttered popcorn</div>","""","""","""",""""
106,1,"""","""",html-slider-response,16,128266,0.0-7.5-1.5,4483.4,83,rep_rating,"<div class = ""display"">buttered popcorn</div><br><br><img src =https://voices.uchicago.edu/bakkourlab/files/2019/04/Yellow-popcorn.jpg></img>",90.73007869,buttered popcorn,0.463414634,""""
106,1,"""","""",html-keyboard-response,17,132294,0.0-7.6-0.6,null,null,view_stimuli,"<div class = ""display"">minestrone soup</div>","""","""","""",""""
106,1,"""","""",html-slider-response,18,136705,0.0-7.6-1.6,4406.3,68,rep_rating,"<div class = ""display"">minestrone soup</div><br><br><img src =https://voices.uchicago.edu/bakkourlab/files/2019/04/Minestrone-Soup-chunky-.jpg></img>",29.20600629,minestrone soup,0.5,""""
106,1,"""","""",html-keyboard-response,19,140715,0.0-7.7-0.7,null,null,view_stimuli,"<div class = ""display"">chocolate chip cookies</div>","""","""","""",""""
106,1,"""","""",html-slider-response,20,144519,0.0-7.7-1.7,3799.2,63,rep_rating,"<div class = ""display"">chocolate chip cookies</div><br><br><img src =https://voices.uchicago.edu/bakkourlab/files/2019/04/Choc-Chip-cookies-Entenmanns.jpg></img>",45.9015708,chocolate chip cookies,0.35,""""
106,1,"""","""",html-keyboard-response,21,148543,0.0-7.8-0.8,null,null,view_stimuli,"<div class = ""display"">cheese nachos</div>","""","""","""",""""
