image,stimulus,url,food.item
1-milk.jpg,1 percent milk,https://voices.uchicago.edu/bakkourlab/files/2019/04/1-milk.jpg,1% milk
Air-popped-popcorn.jpg,air popcorn,https://voices.uchicago.edu/bakkourlab/files/2019/04/Air-popped-popcorn.jpg,popcorn
American-cheese.jpg,american cheese,https://voices.uchicago.edu/bakkourlab/files/2019/04/American-cheese.jpg,american cheese
Apple.jpg,apple slices,https://voices.uchicago.edu/bakkourlab/files/2019/04/Apple.jpg,apple
Avocado-green.jpg,avacado,https://voices.uchicago.edu/bakkourlab/files/2019/04/Avocado-green.jpg,avocado
Baby-Bell-cheese-withcrackers.jpg,baby cheese,https://voices.uchicago.edu/bakkourlab/files/2019/04/Baby-Bell-cheese-withcrackers.jpg,babybel cheese with crackers
Bagel-cream-cheese.jpg,bagel and cc,https://voices.uchicago.edu/bakkourlab/files/2019/04/Bagel-cream-cheese.jpg,bagel with cream cheese
Bagel-plain.jpg,bagel plain,https://voices.uchicago.edu/bakkourlab/files/2019/04/Bagel-plain.jpg,plain bagel
Baguette-with-olive-oil.jpg,baguette oil,https://voices.uchicago.edu/bakkourlab/files/2019/04/Baguette-with-olive-oil.jpg,baguette with olive oil
Baked-Potato.jpg,baked potato,https://voices.uchicago.edu/bakkourlab/files/2019/04/Baked-Potato.jpg,baked potato
Banana.jpg,banana,https://voices.uchicago.edu/bakkourlab/files/2019/04/Banana.jpg,banana
Black-Beans-with-rice.jpg,blackbeanswithrice,https://voices.uchicago.edu/bakkourlab/files/2019/04/Black-Beans-with-rice.jpg,black beans with rice
Blueberries.jpg,blueberries,https://voices.uchicago.edu/bakkourlab/files/2019/04/Blueberries.jpg,blueberries
Breyers-Vanilla-Ice-cream.jpg,icecream,https://voices.uchicago.edu/bakkourlab/files/2019/04/Breyers-Vanilla-Ice-cream.jpg,vanilla ice cream
Broccoli-Cauliflower-raw.jpg,broccoli cauliflower,https://voices.uchicago.edu/bakkourlab/files/2019/04/Broccoli-Cauliflower-raw.jpg,broccoli and cauliflower
Broccoli-raw.jpg,broccoli,https://voices.uchicago.edu/bakkourlab/files/2019/04/Broccoli-raw.jpg,broccoli
Brownie.jpg,brownie,https://voices.uchicago.edu/bakkourlab/files/2019/04/Brownie.jpg,brownie
Burger-on-bun-homemade-80-lean.jpg,burger,https://voices.uchicago.edu/bakkourlab/files/2019/04/Burger-on-bun-homemade-80-lean.jpg,burger
Burrito-Amy-Bean-Cheese.jpg,burrito,https://voices.uchicago.edu/bakkourlab/files/2019/04/Burrito-Amy-Bean-Cheese.jpg,burrito
Cantaloupe.jpg,cantaloupe,https://voices.uchicago.edu/bakkourlab/files/2019/04/Cantaloupe.jpg,cantaloupe
Carrot-Sticks.jpg,carrotsticks,https://voices.uchicago.edu/bakkourlab/files/2019/04/Carrot-Sticks.jpg,carrot sticks
Celery-Carrot-Sticks.jpg,celery and carrot sticks,https://voices.uchicago.edu/bakkourlab/files/2019/04/Celery-Carrot-Sticks.jpg,celery and carrot sticks
Celery-sticks.jpg,celerysticks,https://voices.uchicago.edu/bakkourlab/files/2019/04/Celery-sticks.jpg,celery sticks
Cheerios-dry.jpg,cheerios,https://voices.uchicago.edu/bakkourlab/files/2019/04/Cheerios-dry.jpg,cheerios
Cheese-cubes-mild-cheddar.jpg,cheesecubes,https://voices.uchicago.edu/bakkourlab/files/2019/04/Cheese-cubes-mild-cheddar.jpg,cheese cubes
Cheese-Nachos.jpg,Cheese nachos,https://voices.uchicago.edu/bakkourlab/files/2019/04/Cheese-Nachos.jpg,cheese nachos
Cheeze-Itz.jpg,cheezeits,https://voices.uchicago.edu/bakkourlab/files/2019/04/Cheeze-Itz.jpg,cheez-its
Cherries.jpg,cherries,https://voices.uchicago.edu/bakkourlab/files/2019/04/Cherries.jpg,cherries
Cherry-tomatoes.jpg,cherry tomato,https://voices.uchicago.edu/bakkourlab/files/2019/04/Cherry-tomatoes.jpg,cherry tomatoes
Chicken-fingers-Perdue-Crispy-Chicken-Strips.jpg,chickenfingers,https://voices.uchicago.edu/bakkourlab/files/2019/04/Chicken-fingers-Perdue-Crispy-Chicken-Strips.jpg,chicken fingers
Chicken-noodle-soup-Campbells-Classic.jpg,chickennoodlesoup,https://voices.uchicago.edu/bakkourlab/files/2019/04/Chicken-noodle-soup-Campbells-Classic.jpg,chicken noodle soup
Chicken-nuggets-w-BBQ-Sauce.jpg,chicken nuggets2,https://voices.uchicago.edu/bakkourlab/files/2019/04/Chicken-nuggets-w-BBQ-Sauce.jpg,chicken nuggets
Choc-Chip-cookies-Entenmanns.jpg,cookies,https://voices.uchicago.edu/bakkourlab/files/2019/04/Choc-Chip-cookies-Entenmanns.jpg,chocolate chip cookies
Chocolate-dark-covered-pretzels-Flipz.jpg,chocolatecoveredpretzels,https://voices.uchicago.edu/bakkourlab/files/2019/04/Chocolate-dark-covered-pretzels-Flipz.jpg,chocolate covered pretzels
Chocolate-trail-mix.jpg,trailmix,https://voices.uchicago.edu/bakkourlab/files/2019/04/Chocolate-trail-mix.jpg,chocolate trail mix
Cocktail-shrimp.jpg,cocktailshrimp,https://voices.uchicago.edu/bakkourlab/files/2019/04/Cocktail-shrimp.jpg,cocktail shrimp
Corn-on-Cob.jpg,corn cob,https://voices.uchicago.edu/bakkourlab/files/2019/04/Corn-on-Cob.jpg,corn on the cob
Craisins-Ocean-Spray.jpg,craisins,https://voices.uchicago.edu/bakkourlab/files/2019/04/Craisins-Ocean-Spray.jpg,craisins
Croissant-plain.jpg,croissant,https://voices.uchicago.edu/bakkourlab/files/2019/04/Croissant-plain.jpg,croissant
Cucumber-slices.jpg,cucumber slices,https://voices.uchicago.edu/bakkourlab/files/2019/04/Cucumber-slices.jpg,cucumber
Cupcakes-mini-frosted.jpg,cupcakes am,https://voices.uchicago.edu/bakkourlab/files/2019/04/Cupcakes-mini-frosted.jpg,cupcakes
Doritos-Nacho-Cheese.jpg,doritos,https://voices.uchicago.edu/bakkourlab/files/2019/04/Doritos-Nacho-Cheese.jpg,doritos
Doughnuts-frosted-yeast-type.jpg,doughnuts,https://voices.uchicago.edu/bakkourlab/files/2019/04/Doughnuts-frosted-yeast-type.jpg,doughnuts
Edamame.jpg,edamame,https://voices.uchicago.edu/bakkourlab/files/2019/04/Edamame.jpg,edamame
Egg-salad.jpg,eggsalad,https://voices.uchicago.edu/bakkourlab/files/2019/04/Egg-salad.jpg,egg salad
Eggs-fried.jpg,fried eggs,https://voices.uchicago.edu/bakkourlab/files/2019/04/Eggs-fried.jpg,fried eggs
Eggs-hard-boiled.jpg,eggs,https://voices.uchicago.edu/bakkourlab/files/2019/04/Eggs-hard-boiled.jpg,hard boiled eggs
Falafel-withpita.jpg,falafelwithpita,https://voices.uchicago.edu/bakkourlab/files/2019/04/Falafel-withpita.jpg,falafel with pita
French-Fries.jpg,french fries,https://voices.uchicago.edu/bakkourlab/files/2019/04/French-Fries.jpg,french fries
Fruit-Loops-w-whole-milk.jpg,froot loops w milk,https://voices.uchicago.edu/bakkourlab/files/2019/04/Fruit-Loops-w-whole-milk.jpg,froot loops with milk
Fruit-salad.jpg,fruitsalad,https://voices.uchicago.edu/bakkourlab/files/2019/04/Fruit-salad.jpg,fruit salad
Graham-crackers-Nabisco-Original.jpg,grahamcrackers,https://voices.uchicago.edu/bakkourlab/files/2019/04/Graham-crackers-Nabisco-Original.jpg,graham crackers
Granola-bar-Nature-Valley-Crunchy.jpg,granolabar,https://voices.uchicago.edu/bakkourlab/files/2019/04/Granola-bar-Nature-Valley-Crunchy.jpg,granola bar
Granola-with-whole-milk.jpg,granola w milk,https://voices.uchicago.edu/bakkourlab/files/2019/04/Granola-with-whole-milk.jpg,granola with milk
Grapefruit.jpg,grapefruit,https://voices.uchicago.edu/bakkourlab/files/2019/04/Grapefruit.jpg,grapefruit
Grapes.jpg,Grapes,https://voices.uchicago.edu/bakkourlab/files/2019/04/Grapes.jpg,grapes
Green-beans-raw.jpg,green beans,https://voices.uchicago.edu/bakkourlab/files/2019/04/Green-beans-raw.jpg,green beans
Grilled-cheese.jpg,grilled cheese,https://voices.uchicago.edu/bakkourlab/files/2019/04/Grilled-cheese.jpg,grilled cheese sandwich
Grilled-chicken-strips.jpg,grilled chicken strips,https://voices.uchicago.edu/bakkourlab/files/2019/04/Grilled-chicken-strips.jpg,grilled chicken strips
Hash-browns.jpg,hashbrowns,https://voices.uchicago.edu/bakkourlab/files/2019/04/Hash-browns.jpg,hash browns
Hersheys-Kisses.jpg,Hershey Kisses,https://voices.uchicago.edu/bakkourlab/files/2019/04/Hersheys-Kisses.jpg,hershey kisses
Hot-dog-on-bun-withmustard.jpg,hotdog w must,https://voices.uchicago.edu/bakkourlab/files/2019/04/Hot-dog-on-bun-withmustard.jpg,hot dog
Ice-cream-sundae-ice-cream-whip-cream-cherry.jpg,ice cream sundae 002,https://voices.uchicago.edu/bakkourlab/files/2019/04/Ice-cream-sundae-ice-cream-whip-cream-cherry.jpg,ice cream sundae
